River,Station,Latitude,Longitude,2026-07-31,2026-08-01
River Indus,Kargil,34.56,76.13,0.5,0.0
River Indus,Leh and Ladakh,34.15,77.58,2.2,2.1
River Indus,Kakul,34.18,73.25,16.8,8.0
River Indus,Malam Jabba,34.79,72.57,17.3,2.4
River Jhelum,Srinagar,34.08,74.79,0.5,3.8
River Jhelum,Bandipore,34.42,74.64,0.5,1.9
River Jhelum,Pulwama,33.87,74.89,7.4,13.6
River Jhelum,Badgam,34.02,74.77,,
River Jhelum,Kupwara,34.53,74.26,1.0,0.8
River Jhelum,Baramulla,34.2,74.35,5.8,3.3
River Jhelum,Anantnag,33.73,75.15,1.3,16.1
River Jhelum,Poonch,33.77,74.09,2.5,4.0
River Jhelum,Qila Rohtas,32.65,73.58,5.6,10.6
River Jhelum,Mangla,33.14,73.64,4.8,0.2
River Jhelum,Mandi Bahauddin,32.59,73.49,5.5,10.9
River Jhelum,Chakwal,32.93,72.86,8.0,
River Jhelum,Palandri,33.71,73.75,,1.8
River Chenab,Kishtwar,33.31,75.77,19.3,13.8
River Chenab,Ramban,33.24,75.24,12.8,10.5
River Chenab,Reasi,33.08,74.83,12.3,13.2
River Chenab,Jammu,32.73,74.86,3.6,2.0
River Chenab,Rajouri,33.38,74.31,6.9,9.3
River Chenab,Doda,33.15,75.55,8.9,14.3
River Chenab,Gujranwala,32.16,74.19,7.0,2.0
River Chenab,Sialkot,32.49,74.52,,
River Chenab,Hafizabad,32.07,73.69,5.3,1.8
River Chenab,Gujrat,32.57,74.08,7.4,1.1
River Ravi,Chamba,32.55,76.13,25.4,6.3
River Ravi,Kathua,32.37,75.52,48.4,2.6
River Ravi,Gurdaspur,32.04,75.4,26.1,1.9
River Ravi,Pathankot,32.27,75.65,16.0,2.8
River Ravi,Narowal,32.1,74.87,8.7,1.0
River Ravi,Okara,30.81,73.45,8.0,
River Ravi,Lahore,31.52,74.36,,1.0
River Sutlej,Bilaspur,31.33,76.76,2.0,1.2
River Sutlej,Kangra,32.1,76.27,1.4,1.6
River Sutlej,Kullu,31.96,77.11,24.6,0.8
River Sutlej,Mandi,31.71,76.93,4.3,2.6
River Sutlej,Solan,30.9,77.1,6.2,12.9
River Sutlej,Hoshiarpur,31.53,75.91,6.7,2.0
River Sutlej,Kapurthala,31.38,75.38,17.2,6.8
River Sutlej,Bahawalnagar,29.99,73.25,,
Nullah Aik & Palku,Udhampur,32.92,75.14,18.4,14.3
Nullah Deg,Samba,32.57,75.12,3.3,0.5
